NUTR_FOOD_NAME,NUTR_SAT_FAT_g,NUTR_SERV_SIZE_g,NUTR_CALORIES_g,NUTR_TOTAL_FAT_g,NUTR_CHOLEST_g,NUTR_SODIUM_mg,NUTR_CHOLINE_mg,NUTR_FOLATE_mcg,NUTR_FOLIC_ACID_mcg,NUTR_NIACIN_mg,NUTR_PANT_ACID_mg,NUTR_RIBOFLAVIN_mg,NUTR_THIAMIN_mg,NUTR_VIT_A_IU,NUTR_VIT_A_RAE_mcg,NUTR_CAROT_ALPHA_mcg,NUTR_CAROT_BETA_mcg,NUTR_CRYPTO_BETA_mcg,NUTR_LUTEIN_ZEAX_mcg,NUTR_LUCOPENE,NUTR_VIT_B12_mcg,NUTR_VIT_B6_mg,NUTR_VIT_C_mg,NUTR_VIT_D_IU,NUTR_VIT_E_mg,NUTR_TOCOPHEROL_ALPHA_mg,NUTR_VIT_K_mcg,NUTR_CALCIUM_mg,NUTR_COPPER_mg,NUTR_IRON_mg,NUTR_MAGNES_mg,NUTR_MANGANESE_mg,NUTR_PHOSPHOROUS_mg,NUTR_POTASSIUM_mg,NUTR_SELENIUM_mcg,NUTR_ZINC_mg,NUTR_PROTEIN_g,NUTR_ALANINE_g,NUTR_ARGININE_g,NUTR_ASPART_ACID_g,NUTR_CYSTINE_g,NUTR_GLUT_ACID_g,NUTR_GLYCINE_g,NUTR_HISTIDINE_g,NUTR_HYDROXYPROLINE_g,NUTR_ISOLEUCINE_g,NUTR_LEUCINE_g,NUTR_LYSINE_g,NUTR_METHIONINE_g,NUTR_PHENYL_g,NUTR_PROLINE_g,NUTR_SERINE_g,NUTR_THREONINE_g,NUTR_TRYPTOPHAN_g,NUTR_TYROSINE_g,NUTR_VALINE_g,NUTR_CARBOHYDRATE_g,NUTR_FIBER_g,NUTR_SUGARS_g,NUTR_FRUCTOSE_g,NUTR_GALACTOSE_g,NUTR_GLUCOSE_g,NUTR_LACTOSE_g,NUTR_MALTOSE_g,NUTR_SUCROSE_g,NUTR_FAT_g,NUTR_SAT_FATTY_ACIDS_g,NUTR_MONO_FATTY_ACIDS_g,NUTR_POLYUN_FATTY_ACIDS_g,NUTR_FATTY_ACIDS_TOTAL_TRANS_mg,NUTR_ALCOHOL_g,NUTR_ASH_g,NUTR_CAFFEINE_mg,NUTR_THEOBROMINE_mg,NUTR_WATER_g,CATEGORICAL_CAL,FOOD_CAT1,FOOD_CAT2,SOURCE_KEY,MRG_KEY
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, bone-in, trotter off, leg, fresh, imported, Australian",5.5,100,226,12.0,113,77.0,0.0,0.0,0.0,6.783,0.749,0.524,0.14,7.0,2.0,0.0,0.0,0.0,0.0,0,2.52,0.391,0.0,0.0,0.28,0.28,0.0,4.0,0.136,2.41,24.0,0.004,203.0,291.0,8.4,3.9,30.15,1.715,1.798,2.474,0.308,4.025,1.591,0.788,0.0,1.255,2.152,2.299,0.728,1.121,1.277,1.071,1.232,0.313,0.942,1.35,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64,5.483,4.926,0.878,113.0,0.0,1.14,0.0,0.0,54.95,Medium,Lamb,Meat,NUTRITIONAL,1
"Lamb, cooked, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, frozen, imported, New Zealand",8.8,100,270,18.0,106,46.0,0.0,1.0,0.0,7.31,0.53,0.41,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0,2.71,0.11,0.0,0.0,0.0,0.0,0.0,15.0,0.102,2.08,19.0,0.023,211.0,161.0,2.0,3.61,25.26,1.519,1.5,2.223,0.301,3.665,1.233,0.8,0.0,1.218,1.964,2.23,0.648,1.028,1.059,0.939,1.081,0.295,0.849,1.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98,8.76,6.96,0.88,106.0,0.0,1.4,0.0,0.0,54.8,Medium,Lamb,Meat,NUTRITIONAL,1
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",6.2,100,229,14.0,81,76.0,65.0,6.0,0.0,4.314,0.663,0.174,0.067,23.0,7.0,0.0,0.0,0.0,0.0,0,2.66,0.382,0.0,4.0,0.07,0.07,1.6,19.0,0.067,2.16,20.0,0.012,185.0,312.0,26.3,8.24,24.86,1.418,1.637,2.229,0.261,3.931,1.134,0.805,0.17,1.057,1.999,2.173,0.706,0.946,1.021,0.955,1.094,0.28,0.857,1.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.41,6.192,6.843,0.679,81.0,0.0,0.94,0.0,0.0,61.29,Medium,Beef,Meat,NUTRITIONAL,1
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",6.5,100,241,16.0,84,75.0,80.0,6.0,0.0,4.303,0.693,0.182,0.076,22.0,6.0,0.0,0.0,0.0,0.0,0,3.22,0.374,0.0,5.0,0.13,0.13,1.6,18.0,0.074,2.28,21.0,0.012,189.0,307.0,25.2,8.74,24.47,1.396,1.611,2.195,0.257,3.871,1.116,0.793,0.167,1.041,1.969,2.14,0.695,0.931,1.006,0.94,1.077,0.276,0.844,1.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87,6.462,7.509,0.59,84.0,0.0,0.94,0.0,0.0,59.63,Medium,Beef,Meat,NUTRITIONAL,1
"Cereals, without salt, cooked with water, quick (1-3 minutes), assorted brands including CREAM OF WHEAT, enriched, farina",0.1,100,55,0.3,0,18.0,3.5,77.0,60.0,1.493,0.256,0.065,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.096,0.0,0.0,0.04,0.04,0.0,97.0,0.041,5.33,7.0,0.196,37.0,23.0,12.8,0.23,1.82,0.082,0.074,0.107,0.042,0.755,0.086,0.041,0.0,0.077,0.151,0.092,0.038,0.107,0.35,0.115,0.051,0.02,0.071,0.103,10.92,0.8,0.76,0.0,0.0,0.0,0.0,0.69,0.07,0.34,0.066,0.038,0.126,0.0,0.0,0.38,0.0,0.0,86.55,Low,Cereals,Not Categorized,NUTRITIONAL,1
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, boneless, sirloin half, leg, fresh, imported, Australian",4.5,100,215,11.0,105,83.0,0.0,0.0,0.0,5.725,0.99,0.42,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0,3.19,0.46,0.0,0.0,0.0,0.0,0.0,13.0,0.194,2.24,25.0,0.017,214.0,318.0,13.0,4.76,27.75,1.669,1.647,2.442,0.333,4.027,1.354,0.879,0.0,1.341,2.158,2.451,0.71,1.128,1.163,1.03,1.185,0.324,0.932,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65,4.508,4.182,0.482,105.0,0.0,1.05,0.0,0.0,62.18,Medium,Lamb,Meat,NUTRITIONAL,1
"Cereals, with salt, cooked with water (includes boiling and microwaving), unenriched, regular and quick and instant, oats",0.3,100,71,1.5,0,71.0,7.4,6.0,0.0,0.225,0.311,0.016,0.076,0.0,0.0,0.0,0.0,0.0,180.0,0,0.0,0.005,0.0,0.0,0.08,0.08,0.3,9.0,0.074,0.9,27.0,0.58,77.0,70.0,5.4,1.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.7,0.27,0.0,0.02,0.0,0.0,0.0,0.25,1.52,0.31,0.435,0.559,0.0,0.0,0.34,0.0,0.0,83.61,Low,Cereals,Not Categorized,NUTRITIONAL,1
"Beef, raw, Aust. marble score 4/5, separable lean only, boneless, top loin steak/roast, loin, Wagyu, imported, Australian",5.9,100,223,16.0,58,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,20.15,1.165,1.355,1.855,0.214,3.281,0.897,0.665,0.102,0.882,1.668,1.813,0.588,0.785,0.829,0.792,0.912,0.231,0.715,0.932,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.69,5.909,8.022,0.441,58.0,0.0,0.89,0.0,0.0,63.07,Medium,Beef,Meat,NUTRITIONAL,1
"Beef, raw, Aust. marble score 9, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",7.4,100,237,18.0,74,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,18.87,1.091,1.269,1.737,0.201,3.073,0.84,0.622,0.095,0.826,1.562,1.698,0.55,0.736,0.777,0.741,0.854,0.216,0.669,0.873,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.73,7.377,8.17,0.698,74.0,0.0,0.93,0.0,0.0,61.91,Medium,Beef,Meat,NUTRITIONAL,1
"Lamb, grilled, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, frenched, rib chop, fresh, imported, Australian",5.7,100,234,12.0,92,85.0,0.0,0.0,0.0,8.93,0.66,0.37,0.153,15.0,4.0,0.0,0.0,0.0,0.0,0,1.73,0.601,0.0,0.0,0.41,0.41,0.0,11.0,0.134,2.36,26.0,0.005,216.0,320.0,15.2,3.28,32.16,1.83,1.917,2.639,0.329,4.292,1.697,0.841,0.0,1.339,2.295,2.452,0.777,1.196,1.362,1.143,1.314,0.334,1.005,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.69,4.79,0.648,92.0,0.0,1.15,0.0,0.0,56.33,Medium,Lamb,Meat,NUTRITIONAL,1
